survey id,# replicates surveyed,grid cell label,start date,observation,replicate #,sumatragridmrgd2_centroids_srtm_srtm_1,sumatragridmrgd2_centroids_hii_hii_1
SumatraSurvey10,"40",S02W01,1/1/2008,"1","18",68.000000000000000,8.250246047973633
SumatraSurvey10,"40",S02W01,1/1/2008,"1","21",68.000000000000000,8.250246047973633
SumatraSurvey10,"40",S02W01,1/1/2008,"1","23",68.000000000000000,8.250246047973633
SumatraSurvey10,"40",S02W01,1/1/2008,"1","24",68.000000000000000,8.250246047973633
SumatraSurvey10,"40",S02W01,1/1/2008,"1","25",68.000000000000000,8.250246047973633
SumatraSurvey10,"40",S02W01,1/1/2008,"1","30",68.000000000000000,8.250246047973633
SumatraSurvey10,"40",S02W01,1/1/2008,"1","31",68.000000000000000,8.250246047973633
SumatraSurvey10,"40",S02W01,1/1/2008,"1","37",68.000000000000000,8.250246047973633
SumatraSurvey10,"40",S02W01,1/1/2008,"1","38",68.000000000000000,8.250246047973633
SumatraSurvey10,"40",S02W01,1/1/2008,"1","39",68.000000000000000,8.250246047973633
SumatraSurvey10,"40",S02W01,1/1/2008,"1","40",68.000000000000000,8.250246047973633
SumatraSurvey10,"40",S02W02,1/1/2008,"0","1",129.000000000000000,1.250113964080811
SumatraSurvey10,"40",S02W06,1/1/2008,"1","4",249.000000000000000,5.250538349151611
SumatraSurvey10,"40",S02W06,1/1/2008,"1","25",249.000000000000000,5.250538349151611
SumatraSurvey10,"40",S02W06,1/1/2008,"1","31",249.000000000000000,5.250538349151611
SumatraSurvey10,"40",S02W07,1/1/2008,"1","6",228.000000000000000,4.279921054840088
SumatraSurvey10,"40",S02W08,1/1/2008,"0","1",533.000000000000000,3.252673149108887
SumatraSurvey10,"40",S03W05,1/1/2008,"1","3",83.000000000000000,4.852497577667236
SumatraSurvey10,"40",S03W05,1/1/2008,"1","37",83.000000000000000,4.852497577667236
SumatraSurvey10,"40",S03W06,1/1/2008,"1","3",384.000000000000000,2.000000000000000
SumatraSurvey10,"40",S03W06,1/1/2008,"1","4",384.000000000000000,2.000000000000000
SumatraSurvey10,"40",S03W06,1/1/2008,"1","10",384.000000000000000,2.000000000000000
SumatraSurvey10,"40",S03W06,1/1/2008,"1","13",384.000000000000000,2.000000000000000
SumatraSurvey10,"40",S03W06,1/1/2008,"1","25",384.000000000000000,2.000000000000000
SumatraSurvey10,"40",S03W06,1/1/2008,"1","36",384.000000000000000,2.000000000000000
SumatraSurvey10,"40",S04W05,1/1/2008,"1","1",155.000000000000000,3.687875986099243
